classifier,classifier_file,extractor,extractor_file,subsampling,nfilter,regularization,pre_filter_order,smoothing_window,smoothing_type,subject,mean_squared_error,roc_score,roc_auc_score,precision_score,accuracy_score,date,time,id
logistic-regression,../models/subject-1_logistic-regression_20210905133525_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,1,0.38365320821560267,,,,,05/09/2021,13:35:26,938f23aa-b6f2-45a7-9bda-0ced05649627
logistic-regression,../models/subject-2_logistic-regression_20210905133547_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,2,0.3090870921645793,,,,,05/09/2021,13:35:47,938f23aa-b6f2-45a7-9bda-0ced05649627
logistic-regression,../models/subject-1_logistic-regression_20210905133707_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,1,0.38365320821560267,,,,,05/09/2021,13:37:07,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-2_logistic-regression_20210905133734_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,2,0.3090870921645793,,,,,05/09/2021,13:37:34,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-3_logistic-regression_20210905133748_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,3,0.40852882017117775,,,,,05/09/2021,13:37:48,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-4_logistic-regression_20210905133802_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,4,0.3844332804692033,,,,,05/09/2021,13:38:02,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-5_logistic-regression_20210905133817_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,5,0.36464087688491653,,,,,05/09/2021,13:38:17,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-6_logistic-regression_20210905133832_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,6,0.3223221030149382,,,,,05/09/2021,13:38:33,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-7_logistic-regression_20210905133853_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,7,0.33065187032081894,,,,,05/09/2021,13:38:53,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-8_logistic-regression_20210905133907_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,8,0.38592749744465693,,,,,05/09/2021,13:39:07,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-9_logistic-regression_20210905133921_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,9,0.36512599505245114,,,,,05/09/2021,13:39:22,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-10_logistic-regression_20210905133937_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,10,0.3560766032349489,,,,,05/09/2021,13:39:38,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-11_logistic-regression_20210905133953_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,11,0.3466433273462902,,,,,05/09/2021,13:39:53,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-12_logistic-regression_20210905134010_.sav,csp,_csp_20210905113839_.sav,500,6,ledoit_wolf,5,250,boxcar,12,0.3066711716030668,,,,,05/09/2021,13:40:10,46dd2e34-1990-4b6e-9a4b-bf0a80199f19
logistic-regression,../models/subject-1_logistic-regression_20210905134950_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,1,0.37709543738155016,,,,,05/09/2021,13:49:51,01b853a6-98d6-431c-af52-60a82a4762de
logistic-regression,../models/subject-2_logistic-regression_20210905135209_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,2,0.334597069156597,,,,,05/09/2021,13:52:10,01b853a6-98d6-431c-af52-60a82a4762de
logistic-regression,../models/subject-3_logistic-regression_20210905135341_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,3,0.434518058775403,,,,,05/09/2021,13:53:42,01b853a6-98d6-431c-af52-60a82a4762de
logistic-regression,../models/subject-4_logistic-regression_20210905135511_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,4,0.38547353575218435,,,,,05/09/2021,13:55:11,01b853a6-98d6-431c-af52-60a82a4762de
logistic-regression,../models/subject-5_logistic-regression_20210905135658_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,5,0.3537729914987084,,,,,05/09/2021,13:56:58,01b853a6-98d6-431c-af52-60a82a4762de
logistic-regression,../models/subject-6_logistic-regression_20210905135907_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,6,0.33709345303746546,,,,,05/09/2021,13:59:08,01b853a6-98d6-431c-af52-60a82a4762de
logistic-regression,../models/subject-7_logistic-regression_20210905140111_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,7,0.338041032739888,,,,,05/09/2021,14:01:11,01b853a6-98d6-431c-af52-60a82a4762de
logistic-regression,../models/subject-8_logistic-regression_20210905140335_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,8,0.40914441229408094,,,,,05/09/2021,14:03:36,01b853a6-98d6-431c-af52-60a82a4762de
logistic-regression,../models/subject-9_logistic-regression_20210905140516_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,9,0.31888522157147686,,,,,05/09/2021,14:05:16,01b853a6-98d6-431c-af52-60a82a4762de
logistic-regression,../models/subject-10_logistic-regression_20210905140658_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,10,0.36832464752442634,,,,,05/09/2021,14:06:59,01b853a6-98d6-431c-af52-60a82a4762de
logistic-regression,../models/subject-11_logistic-regression_20210905140830_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,11,0.36905747875153255,,,,,05/09/2021,14:08:30,01b853a6-98d6-431c-af52-60a82a4762de
logistic-regression,../models/subject-12_logistic-regression_20210905141042_.sav,csp,_csp_20210905113839_.sav,1,10,ledoit_wolf,5,250,boxcar,12,0.3068184485471209,,,,,05/09/2021,14:10:43,01b853a6-98d6-431c-af52-60a82a4762de
multi-layer-perceptron,../models/subject-1_multi-layer-perceptron_20210905141822_.sav,csp,../extractors/_csp_20210905141748_.sav,100,5,ledoit_wolf,5,250,boxcar,1,0.4148756872068277,,,,,05/09/2021,14:18:22,60af73f1-1565-476f-81d2-46c552293ba8
multi-layer-perceptron,../models/subject-2_multi-layer-perceptron_20210905142028_.sav,csp,../extractors/_csp_20210905142002_.sav,100,5,ledoit_wolf,5,250,boxcar,2,0.3269670122830893,,,,,05/09/2021,14:20:28,60af73f1-1565-476f-81d2-46c552293ba8
multi-layer-perceptron,../models/subject-3_multi-layer-perceptron_20210905142205_.sav,csp,../extractors/_csp_20210905142132_.sav,100,5,ledoit_wolf,5,250,boxcar,3,0.4077236403289259,,,,,05/09/2021,14:22:06,60af73f1-1565-476f-81d2-46c552293ba8
multi-layer-perceptron,../models/subject-4_multi-layer-perceptron_20210905142345_.sav,csp,../extractors/_csp_20210905142308_.sav,100,5,ledoit_wolf,5,250,boxcar,4,0.38586096789171104,,,,,05/09/2021,14:23:46,60af73f1-1565-476f-81d2-46c552293ba8
multi-layer-perceptron,../models/subject-1_multi-layer-perceptron_20210905143232_.sav,csp,../extractors/_csp_20210905143131_.sav,100,5,ledoit_wolf,5,250,boxcar,1,0.382564252055009,,,,,05/09/2021,14:32:33,57598e7c-e707-4144-adbd-7beab9e4fbe7
multi-layer-perceptron,../models/subject-2_multi-layer-perceptron_20210905143457_.sav,csp,../extractors/_csp_20210905143350_.sav,100,5,ledoit_wolf,5,250,boxcar,2,0.3290795812827316,,,,,05/09/2021,14:34:59,57598e7c-e707-4144-adbd-7beab9e4fbe7
multi-layer-perceptron,../models/subject-3_multi-layer-perceptron_20210905143641_.sav,csp,../extractors/_csp_20210905143553_.sav,100,5,ledoit_wolf,5,250,boxcar,3,0.4223977968897683,,,,,05/09/2021,14:36:41,57598e7c-e707-4144-adbd-7beab9e4fbe7
